Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,625,500,1607,1650,1727,255,1881,0.000%,30.18868,2638.96,4.72
TOTAL,1000,625,500,1607,1650,1727,255,1881,0.000%,30.18868,2638.96,4.72
