Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,23773,255809,77475,1257694,1301032,1377357,821,1401115,12.077%,14.21925,1017.65,1.95
TOTAL,23773,255809,77475,1257694,1301032,1377357,821,1401115,12.077%,14.21925,1017.65,1.95
