Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,23773,255809,821,1401115,440097.55,12.077%,14.21925,1017.65,1.95,73286.0
TOTAL,23773,255809,821,1401115,440097.55,12.077%,14.21925,1017.65,1.95,73286.0
