Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,6720,3500,16353,22700,37674,298,73921,0.000%,58.26012,5055.23,9.10
TOTAL,5000,6720,3500,16353,22700,37674,298,73921,0.000%,58.26012,5055.23,9.10
