Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5000,6720,298,73921,7581.55,0.000%,58.26012,5055.23,9.10,88852.4
TOTAL,5000,6720,298,73921,7581.55,0.000%,58.26012,5055.23,9.10,88852.4
