Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,625,255,1881,507.45,0.000%,30.18868,2638.96,4.72,89513.4
TOTAL,1000,625,255,1881,507.45,0.000%,30.18868,2638.96,4.72,89513.4
